Date,Department,Client,Engagement,Manager,Invoiced,Received,DueDate,NextBillingDate,Status
2026-02-11,Advisory,GreenField Realty,ENG-1072,K. Reyes,567223.54,567223.54,2026-03-13,2026-07-29,Paid
2025-02-12,Accounting,Pacific Garments,ENG-1073,A. Tanaka,234434.11,234434.11,2025-03-29,2026-07-21,Paid
2026-05-17,Advisory,TechBridge Solutions,ENG-1074,R. Cruz,0.0,0.0,2026-07-16,,Draft
2025-10-04,Payroll,Sunrise Motors,ENG-1075,K. Reyes,384910.92,0.0,2025-12-03,,Unpaid
2025-11-27,Audit,BPO Global,ENG-1076,J. Santos,516959.37,0.0,2025-12-12,2026-07-08,Unpaid
2026-01-24,Payroll,Pacific Garments,ENG-1077,M. Yamada,228382.11,228382.11,2026-03-10,2026-06-23,Paid
2025-10-14,Audit,Cebu Resorts Group,ENG-1078,R. Cruz,532979.19,0.0,2025-11-28,,Unpaid
2025-09-05,Accounting,AgriHarvest Co.,ENG-1079,J. Santos,443241.81,443241.81,2025-10-05,,Paid
2025-01-18,Advisory,Pacific Garments,ENG-1080,J. Santos,92109.88,92109.88,2025-02-17,2026-07-17,Paid
2026-06-28,Payroll,GreenField Realty,ENG-1081,M. Yamada,0.0,0.0,2026-08-12,2026-07-09,Draft
2025-08-25,Audit,Sunrise Motors,ENG-1082,R. Cruz,107567.3,107567.3,2025-09-09,,Paid
2025-08-10,Tax,BPO Global,ENG-1083,M. Yamada,453618.61,453618.61,2025-09-24,,Paid
2026-01-05,Tax,Cebu Resorts Group,ENG-1084,M. Yamada,140487.26,140487.26,2026-02-04,2026-06-13,Paid
2026-05-18,Tax,Yamato Trading,ENG-1085,M. Yamada,97449.08,97449.08,2026-07-02,,Paid
2025-02-22,Tax,TechBridge Solutions,ENG-1086,J. Santos,181387.9,0.0,2025-03-09,,Unpaid
2025-02-24,Accounting,Manila Logistics Corp.,ENG-1087,K. Reyes,124967.12,0.0,2025-04-10,2026-06-25,Unpaid
2025-08-20,Advisory,TechBridge Solutions,ENG-1088,M. Yamada,474388.38,474388.38,2025-10-19,2026-07-17,Paid
2025-03-03,Payroll,GreenField Realty,ENG-1089,A. Tanaka,381393.31,0.0,2025-04-02,,Unpaid
2025-09-03,Tax,Sunrise Motors,ENG-1090,K. Reyes,137335.59,137335.59,2025-09-18,,Paid
2025-10-26,Advisory,Yamato Trading,ENG-1091,A. Tanaka,58278.32,58278.32,2025-12-10,,Paid
2025-09-28,Tax,Cebu Resorts Group,ENG-1092,R. Cruz,481183.69,303430.36,2025-10-28,,Partial
2025-09-30,Tax,Metro Pharma,ENG-1093,K. Reyes,502913.45,502913.45,2025-10-30,,Paid
2026-03-26,Audit,Yamato Trading,ENG-1094,J. Santos,109638.05,71250.13,2026-05-10,,Partial
2025-02-10,Accounting,AgriHarvest Co.,ENG-1095,K. Reyes,538076.82,0.0,2025-03-27,2026-06-24,Unpaid
2025-01-22,Payroll,Nippon Steel PH,ENG-1096,J. Santos,599760.55,260749.21,2025-02-06,,Partial
2026-03-29,Payroll,Yamato Trading,ENG-1097,A. Tanaka,553000.76,553000.76,2026-05-28,,Paid
2025-12-23,Advisory,Pacific Garments,ENG-1098,J. Santos,268674.93,268674.93,2026-01-07,,Paid
2025-10-23,Advisory,Pacific Garments,ENG-1099,M. Yamada,411046.78,411046.78,2025-11-07,,Paid
2025-04-29,Audit,Cebu Resorts Group,ENG-1100,J. Santos,583303.45,583303.45,2025-05-14,,Paid
2025-02-25,Advisory,Sakura Foods Inc.,ENG-1101,R. Cruz,145046.22,145046.22,2025-04-26,,Paid
2025-05-15,Audit,Metro Pharma,ENG-1102,R. Cruz,559496.75,559496.75,2025-07-14,2026-07-20,Paid
2025-11-15,Tax,Manila Logistics Corp.,ENG-1103,R. Cruz,348469.84,120781.25,2025-11-30,,Partial
2025-10-26,Advisory,BPO Global,ENG-1104,J. Santos,324968.33,324968.33,2025-12-25,,Paid
2025-05-29,Payroll,GreenField Realty,ENG-1105,J. Santos,0.0,0.0,2025-06-28,,Draft
2026-06-04,Audit,Metro Pharma,ENG-1106,J. Santos,189616.69,189616.69,2026-07-19,,Paid
2026-04-03,Tax,Pacific Garments,ENG-1107,R. Cruz,341605.12,341605.12,2026-06-02,,Paid
2026-01-28,Tax,Sunrise Motors,ENG-1108,J. Santos,170794.97,0.0,2026-02-12,2026-07-10,Unpaid
2025-06-05,Advisory,Yamato Trading,ENG-1109,A. Tanaka,317384.04,317384.04,2025-07-20,,Paid
2026-04-13,Payroll,GreenField Realty,ENG-1110,M. Yamada,48594.65,48594.65,2026-05-13,2026-07-30,Paid
2026-02-12,Payroll,AgriHarvest Co.,ENG-1111,J. Santos,403908.53,0.0,2026-04-13,,Unpaid
2025-02-06,Payroll,Sunrise Motors,ENG-1112,A. Tanaka,385777.3,385777.3,2025-03-23,,Paid
2025-04-11,Advisory,Sunrise Motors,ENG-1113,M. Yamada,465807.03,0.0,2025-04-26,,Unpaid
2025-02-17,Accounting,BPO Global,ENG-1114,K. Reyes,221649.81,221649.81,2025-04-03,2026-06-19,Paid
2025-07-04,Advisory,BPO Global,ENG-1115,J. Santos,135190.84,135190.84,2025-09-02,,Paid
2025-05-27,Payroll,Yamato Trading,ENG-1116,M. Yamada,170025.53,90077.02,2025-06-11,,Partial
2025-06-11,Payroll,TechBridge Solutions,ENG-1117,M. Yamada,0.0,0.0,2025-07-26,,Draft
2025-11-06,Advisory,Metro Pharma,ENG-1118,M. Yamada,151561.52,151561.52,2026-01-05,2026-07-04,Paid
2025-10-30,Payroll,AgriHarvest Co.,ENG-1119,A. Tanaka,595907.54,595907.54,2025-12-29,2026-07-16,Paid
2026-05-24,Payroll,Pacific Garments,ENG-1120,R. Cruz,506389.78,0.0,2026-06-23,,Unpaid
2025-09-14,Tax,AgriHarvest Co.,ENG-1121,A. Tanaka,419548.1,0.0,2025-10-14,,Unpaid
2026-03-28,Audit,Pacific Garments,ENG-1122,J. Santos,58684.14,58684.14,2026-04-27,2026-06-28,Paid
2025-07-25,Tax,GreenField Realty,ENG-1123,R. Cruz,114009.49,114009.49,2025-09-08,,Paid
2026-05-09,Audit,Yamato Trading,ENG-1124,A. Tanaka,581735.08,581735.08,2026-06-23,,Paid
2025-08-20,Tax,Cebu Resorts Group,ENG-1125,M. Yamada,521678.73,0.0,2025-10-19,,Unpaid
2026-02-09,Accounting,AgriHarvest Co.,ENG-1126,M. Yamada,47794.45,47794.45,2026-04-10,2026-07-27,Paid
2026-01-26,Payroll,Yamato Trading,ENG-1127,A. Tanaka,0.0,0.0,2026-02-10,,Draft
2025-12-02,Payroll,Yamato Trading,ENG-1128,M. Yamada,552543.31,552543.31,2025-12-17,,Paid
2025-04-30,Advisory,Manila Logistics Corp.,ENG-1129,A. Tanaka,0.0,0.0,2025-06-14,,Draft
2025-05-19,Tax,Sunrise Motors,ENG-1130,R. Cruz,257641.67,257641.67,2025-07-18,,Paid
2025-04-12,Advisory,BPO Global,ENG-1131,J. Santos,506868.13,390048.47,2025-05-27,2026-07-03,Partial
2025-08-30,Advisory,AgriHarvest Co.,ENG-1132,M. Yamada,519052.11,519052.11,2025-10-14,,Paid
2026-02-12,Accounting,AgriHarvest Co.,ENG-1133,K. Reyes,0.0,0.0,2026-04-13,2026-06-23,Draft
2025-02-21,Accounting,BPO Global,ENG-1134,A. Tanaka,480604.97,480604.97,2025-03-23,,Paid
2025-08-01,Payroll,Metro Pharma,ENG-1135,A. Tanaka,368374.53,0.0,2025-08-31,2026-06-19,Unpaid
2025-05-29,Audit,Sakura Foods Inc.,ENG-1136,R. Cruz,593015.29,593015.29,2025-06-28,2026-08-04,Paid
2026-01-02,Accounting,Sakura Foods Inc.,ENG-1137,R. Cruz,482391.41,482391.41,2026-02-16,2026-06-26,Paid
2026-06-23,Advisory,Cebu Resorts Group,ENG-1138,K. Reyes,103643.61,103643.61,2026-08-22,,Paid
2026-04-08,Accounting,AgriHarvest Co.,ENG-1139,K. Reyes,0.0,0.0,2026-04-23,,Draft
2026-04-15,Audit,TechBridge Solutions,ENG-1140,A. Tanaka,400270.78,400270.78,2026-06-14,,Paid
2026-03-31,Advisory,Metro Pharma,ENG-1141,K. Reyes,81154.8,81154.8,2026-04-30,2026-06-27,Paid
2025-11-29,Payroll,Manila Logistics Corp.,ENG-1142,K. Reyes,253306.46,113341.69,2026-01-28,2026-07-24,Partial
2026-03-17,Tax,TechBridge Solutions,ENG-1143,J. Santos,292870.75,292870.75,2026-05-01,,Paid
2025-11-17,Accounting,Yamato Trading,ENG-1144,A. Tanaka,278987.84,135909.07,2025-12-17,,Partial
2025-03-29,Accounting,Cebu Resorts Group,ENG-1145,A. Tanaka,92208.86,92208.86,2025-05-13,,Paid
2025-12-04,Payroll,Sunrise Motors,ENG-1146,A. Tanaka,415207.43,415207.43,2026-02-02,,Paid
2025-11-16,Audit,Pacific Garments,ENG-1147,K. Reyes,236921.86,96277.79,2026-01-15,2026-06-16,Partial
2025-04-28,Audit,AgriHarvest Co.,ENG-1148,M. Yamada,467059.15,328627.81,2025-05-13,,Partial
2025-07-04,Accounting,Nippon Steel PH,ENG-1149,K. Reyes,193031.42,0.0,2025-08-18,2026-06-21,Unpaid
2025-03-13,Advisory,Pacific Garments,ENG-1150,R. Cruz,119449.81,37665.94,2025-04-12,2026-07-09,Partial
2025-11-16,Audit,Nippon Steel PH,ENG-1151,R. Cruz,444093.74,0.0,2025-12-01,,Unpaid
2025-02-20,Payroll,Yamato Trading,ENG-1152,J. Santos,417422.48,417422.48,2025-04-21,,Paid
2025-08-09,Audit,AgriHarvest Co.,ENG-1153,K. Reyes,462768.16,462768.16,2025-10-08,2026-07-23,Paid
2026-06-24,Advisory,Sakura Foods Inc.,ENG-1154,A. Tanaka,413594.23,413594.23,2026-08-23,,Paid
2025-11-05,Tax,Sakura Foods Inc.,ENG-1155,J. Santos,569381.49,0.0,2025-12-20,2026-06-17,Unpaid
2025-06-29,Advisory,AgriHarvest Co.,ENG-1156,M. Yamada,112343.99,112343.99,2025-07-29,,Paid
2026-02-11,Accounting,Manila Logistics Corp.,ENG-1157,M. Yamada,522588.04,522588.04,2026-02-26,,Paid
2026-03-16,Payroll,Sakura Foods Inc.,ENG-1158,M. Yamada,361103.82,0.0,2026-05-15,2026-07-05,Unpaid
2026-04-17,Tax,Manila Logistics Corp.,ENG-1159,R. Cruz,505934.51,0.0,2026-05-02,,Unpaid
2026-02-15,Advisory,BPO Global,ENG-1160,M. Yamada,333419.02,333419.02,2026-04-01,,Paid
2025-03-20,Tax,Pacific Garments,ENG-1161,M. Yamada,325870.64,325870.64,2025-04-19,,Paid
2025-08-30,Tax,AgriHarvest Co.,ENG-1162,A. Tanaka,97570.54,97570.54,2025-09-29,,Paid
2026-05-21,Tax,AgriHarvest Co.,ENG-1163,M. Yamada,299813.72,176810.36,2026-07-05,,Partial
2026-03-27,Tax,Metro Pharma,ENG-1164,A. Tanaka,78240.3,78240.3,2026-05-11,,Paid
2026-06-04,Audit,GreenField Realty,ENG-1165,A. Tanaka,81546.77,81546.77,2026-06-19,2026-08-02,Paid
2026-06-04,Accounting,Metro Pharma,ENG-1166,R. Cruz,255310.19,198405.57,2026-06-19,,Partial
2026-05-03,Audit,Pacific Garments,ENG-1167,A. Tanaka,0.0,0.0,2026-07-02,2026-08-06,Draft
2025-06-26,Payroll,Metro Pharma,ENG-1168,R. Cruz,61919.59,0.0,2025-08-25,,Unpaid
2026-01-17,Audit,Sakura Foods Inc.,ENG-1169,M. Yamada,554044.6,554044.6,2026-03-03,,Paid
2025-12-04,Accounting,AgriHarvest Co.,ENG-1170,R. Cruz,92923.33,41078.94,2026-01-03,2026-07-17,Partial
2025-11-14,Audit,AgriHarvest Co.,ENG-1171,M. Yamada,581910.04,288615.16,2025-11-29,2026-07-04,Partial
2026-06-24,Tax,BPO Global,ENG-1172,M. Yamada,92333.66,51175.4,2026-07-09,2026-06-21,Partial
2025-07-16,Advisory,Manila Logistics Corp.,ENG-1173,K. Reyes,166864.11,166864.11,2025-07-31,2026-07-30,Paid
2026-06-24,Payroll,Nippon Steel PH,ENG-1174,R. Cruz,61138.6,61138.6,2026-07-24,,Paid
2025-06-19,Tax,BPO Global,ENG-1175,J. Santos,443862.48,443862.48,2025-08-03,,Paid
2025-10-19,Payroll,GreenField Realty,ENG-1176,J. Santos,461339.05,0.0,2025-11-18,,Unpaid
2026-01-12,Tax,Cebu Resorts Group,ENG-1177,K. Reyes,419851.82,218448.36,2026-02-26,,Partial
2025-06-15,Advisory,Sakura Foods Inc.,ENG-1178,J. Santos,497459.09,0.0,2025-07-15,,Unpaid
2025-04-16,Audit,Nippon Steel PH,ENG-1179,M. Yamada,438384.55,438384.55,2025-05-01,2026-07-28,Paid
2026-06-10,Advisory,Pacific Garments,ENG-1180,A. Tanaka,122515.25,122515.25,2026-07-10,,Paid
2025-02-24,Advisory,Pacific Garments,ENG-1181,R. Cruz,262014.22,262014.22,2025-04-25,,Paid
2025-11-23,Accounting,Nippon Steel PH,ENG-1182,A. Tanaka,561262.51,0.0,2026-01-07,,Unpaid
2026-04-29,Audit,Sakura Foods Inc.,ENG-1183,A. Tanaka,429800.31,429800.31,2026-06-28,,Paid
2025-09-20,Accounting,BPO Global,ENG-1184,M. Yamada,160766.66,160766.66,2025-11-19,2026-06-28,Paid
2025-02-18,Accounting,Yamato Trading,ENG-1185,K. Reyes,173526.12,106094.79,2025-03-05,2026-08-06,Partial
2025-01-17,Payroll,Metro Pharma,ENG-1186,M. Yamada,393894.77,259683.86,2025-03-03,,Partial
2026-03-03,Tax,Cebu Resorts Group,ENG-1187,K. Reyes,144895.79,81394.09,2026-04-17,2026-07-13,Partial
2025-01-21,Payroll,GreenField Realty,ENG-1188,A. Tanaka,258654.09,258654.09,2025-03-22,,Paid
2025-03-11,Audit,Sunrise Motors,ENG-1189,M. Yamada,233089.4,0.0,2025-03-26,,Unpaid
2025-02-15,Tax,AgriHarvest Co.,ENG-1190,J. Santos,237287.47,237287.47,2025-03-17,,Paid
2025-07-06,Advisory,Sakura Foods Inc.,ENG-1191,R. Cruz,494438.7,494438.7,2025-09-04,2026-06-22,Paid
2025-11-20,Accounting,AgriHarvest Co.,ENG-1192,R. Cruz,562687.75,562687.75,2026-01-19,2026-07-28,Paid
2026-01-01,Audit,Pacific Garments,ENG-1193,J. Santos,522797.58,522797.58,2026-02-15,2026-07-31,Paid
2026-03-27,Advisory,Yamato Trading,ENG-1194,M. Yamada,540997.0,540997.0,2026-04-26,,Paid
2025-10-01,Payroll,Nippon Steel PH,ENG-1195,K. Reyes,488642.93,0.0,2025-10-16,,Unpaid
2025-11-25,Audit,Sunrise Motors,ENG-1196,J. Santos,97454.83,97454.83,2026-01-09,2026-07-18,Paid
2026-03-31,Tax,TechBridge Solutions,ENG-1197,M. Yamada,236866.31,236866.31,2026-05-15,,Paid
2025-03-18,Accounting,Nippon Steel PH,ENG-1198,K. Reyes,415862.98,415862.98,2025-04-17,,Paid
2025-02-05,Advisory,Metro Pharma,ENG-1199,A. Tanaka,110688.81,110688.81,2025-03-22,2026-08-09,Paid
2025-06-07,Payroll,Manila Logistics Corp.,ENG-1200,K. Reyes,0.0,0.0,2025-07-22,,Draft
2026-06-27,Tax,Sakura Foods Inc.,ENG-1201,R. Cruz,245491.97,245491.97,2026-08-11,2026-06-17,Paid
2026-06-15,Advisory,BPO Global,ENG-1202,K. Reyes,256712.93,110614.61,2026-07-30,,Partial
2026-05-18,Audit,Sunrise Motors,ENG-1203,J. Santos,152099.87,152099.87,2026-06-02,,Paid
2025-11-24,Accounting,Nippon Steel PH,ENG-1204,R. Cruz,413990.28,0.0,2026-01-08,,Unpaid
2026-06-05,Audit,Sakura Foods Inc.,ENG-1205,M. Yamada,0.0,0.0,2026-07-05,2026-07-11,Draft
2026-01-13,Payroll,Manila Logistics Corp.,ENG-1206,A. Tanaka,0.0,0.0,2026-02-12,,Draft
2026-02-12,Audit,Metro Pharma,ENG-1207,A. Tanaka,599773.22,0.0,2026-04-13,,Unpaid
2025-11-21,Tax,Cebu Resorts Group,ENG-1208,K. Reyes,399709.61,399709.61,2026-01-05,2026-08-02,Paid
2025-05-13,Tax,Cebu Resorts Group,ENG-1209,R. Cruz,282266.24,0.0,2025-05-28,,Unpaid
2025-06-18,Audit,Cebu Resorts Group,ENG-1210,M. Yamada,0.0,0.0,2025-07-18,2026-08-09,Draft
2025-09-14,Accounting,Metro Pharma,ENG-1211,K. Reyes,0.0,0.0,2025-10-29,2026-06-29,Draft
2026-05-30,Accounting,Sunrise Motors,ENG-1212,K. Reyes,398952.96,235511.21,2026-06-29,,Partial
2025-02-12,Audit,Metro Pharma,ENG-1213,M. Yamada,502132.31,502132.31,2025-02-27,,Paid
2026-03-03,Tax,GreenField Realty,ENG-1214,J. Santos,386140.72,386140.72,2026-04-17,,Paid
2026-02-20,Tax,Yamato Trading,ENG-1215,J. Santos,206562.97,206562.97,2026-03-07,2026-07-06,Paid
2025-12-15,Tax,Pacific Garments,ENG-1216,J. Santos,379729.75,379729.75,2026-01-29,,Paid
2026-01-15,Tax,GreenField Realty,ENG-1217,J. Santos,328388.88,328388.88,2026-02-14,,Paid
2025-05-25,Tax,TechBridge Solutions,ENG-1218,R. Cruz,94214.53,94214.53,2025-07-24,,Paid
2025-12-02,Tax,Yamato Trading,ENG-1219,K. Reyes,562900.86,0.0,2026-01-01,,Unpaid
2026-05-26,Advisory,Cebu Resorts Group,ENG-1220,J. Santos,532282.37,532282.37,2026-06-10,,Paid
2025-08-09,Tax,AgriHarvest Co.,ENG-1221,J. Santos,366672.7,366672.7,2025-09-23,,Paid
2025-01-09,Audit,TechBridge Solutions,ENG-1222,M. Yamada,514416.52,514416.52,2025-02-23,,Paid
2026-02-15,Accounting,Yamato Trading,ENG-1223,K. Reyes,68648.3,33037.81,2026-04-01,2026-07-12,Partial
2025-05-02,Audit,Pacific Garments,ENG-1224,K. Reyes,112051.5,112051.5,2025-06-16,,Paid
2025-05-28,Audit,Sunrise Motors,ENG-1225,M. Yamada,151472.41,151472.41,2025-06-12,2026-06-18,Paid
2026-06-16,Advisory,Pacific Garments,ENG-1226,R. Cruz,295913.59,165046.65,2026-07-31,,Partial
2025-11-03,Advisory,GreenField Realty,ENG-1227,J. Santos,372485.81,372485.81,2026-01-02,,Paid
2026-01-13,Accounting,Sunrise Motors,ENG-1228,A. Tanaka,225494.17,225494.17,2026-03-14,,Paid
2026-05-01,Payroll,Metro Pharma,ENG-1229,J. Santos,188697.04,148321.24,2026-05-31,,Partial
2026-06-21,Tax,BPO Global,ENG-1230,A. Tanaka,392254.14,282651.89,2026-07-21,,Partial
2025-04-23,Payroll,BPO Global,ENG-1231,J. Santos,146839.22,146839.22,2025-06-22,2026-07-24,Paid
2026-04-28,Payroll,Cebu Resorts Group,ENG-1232,R. Cruz,528777.92,0.0,2026-05-13,,Unpaid
2025-11-29,Payroll,Yamato Trading,ENG-1233,K. Reyes,598948.81,598948.81,2026-01-28,2026-06-21,Paid
2025-12-29,Audit,BPO Global,ENG-1234,R. Cruz,418486.4,0.0,2026-02-12,,Unpaid
2025-11-02,Audit,Sunrise Motors,ENG-1235,R. Cruz,0.0,0.0,2025-12-17,,Draft
2025-11-21,Advisory,AgriHarvest Co.,ENG-1236,K. Reyes,308689.92,236840.09,2026-01-05,2026-07-16,Partial
